id,Player,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,Oreb,DR,TR,AST,TOV,BS,EFF,OE,TS,eFG,PPP
29,ケビン・ジョーンズ,16.0425531914894,6.42553191489362,11.3829787234043,1,2.40425531914894,2.19148936170213,3.27659574468085,2.51063829787234,5.57446808510638,8.08510638297872,1.72340425531915,0.617021276595745,0.659574468085106,21.7234042553191,1.58444022770398,62.5456234653925,0.608411214953271,1.19349119918957
30,コー・フリッピン,2.75,1.01923076923077,2.46153846153846,0.173076923076923,0.692307692307692,0.538461538461538,0.942307692307692,0.288461538461538,0.480769230769231,0.769230769230769,1.32692307692308,0.788461538461538,0.211538461538462,2.07692307692308,0.95067264573991,47.8069002407061,0.44921875,0.750419815281276
31,サーディ・ラベナ,7.76190476190476,3.04761904761905,8.52380952380952,0.714285714285714,2.61904761904762,0.952380952380952,1.76190476190476,0.619047619047619,2.47619047619048,3.0952380952381,1.38095238095238,1.28571428571429,0.142857142857143,5.04761904761905,0.864864864864865,41.7349446947972,0.399441340782123,0.733309339571711
32,ザック・バランスキー,3.33928571428571,1.21428571428571,3.17857142857143,0.607142857142857,1.78571428571429,0.303571428571429,0.428571428571429,0.428571428571429,1.60714285714286,2.03571428571429,1.08928571428571,0.428571428571429,0.071428571428572,3.60714285714286,1.03765690376569,49.5863385659737,0.477528089887641,0.879751599548363
33,シェーファーアヴィ幸樹,9.47272727272727,3.89090909090909,7.61818181818182,0.672727272727273,1.87272727272727,1.01818181818182,1.56363636363636,1.38181818181818,3.32727272727273,4.70909090909091,1.30909090909091,0.909090909090909,0.236363636363636,10.5090909090909,1.2752688172043,57.0221521758165,0.554892601431981,1.02793781074895
34,シェーン・ウィティングトン,9.66,3.56,6.38,1.26,2.82,1.28,1.7,1.18,2.66,3.84,0.82,0.7,0.34,11,1.55952380952381,67.7609427609428,0.656739811912226,1.23403168114461
35,シャノン・ショーター,11.9074074074074,4.14814814814815,9.57407407407407,0.777777777777778,2.87037037037037,2.83333333333333,3.33333333333333,0.796296296296296,3.87037037037037,4.66666666666667,3.59259259259259,1.27777777777778,0.148148148148148,15.1111111111111,1.13568521031208,53.9248574303925,0.473887814313346,0.96662657847264
36,ジェイソン・ウォッシュバーン,17.0217391304348,7,13.0217391304348,0.543478260869565,1.43478260869565,2.47826086956522,3.32608695652174,2.39130434782609,5.73913043478261,8.1304347826087,1.78260869565217,1.91304347826087,1.28260869565217,21.0869565217391,1.31259484066768,58.7555528875015,0.558430717863105,1.0380209990455
37,ジェフ・エアーズ,13.25,4.48214285714286,9.10714285714286,1.41071428571429,3.76785714285714,2.875,3.33928571428571,1.73214285714286,6.71428571428571,8.44642857142857,1.39285714285714,1.78571428571429,0.678571428571429,17.9642857142857,1.38747884940778,62.6392922266496,0.569607843137255,1.0718206506038
38,ジェフ・ギブス,9.11666666666667,3.36666666666667,7,0.25,1.23333333333333,2.13333333333333,2.7,2.26666666666667,3.91666666666667,6.18333333333333,2.23333333333333,1.08333333333333,0.3,13.35,1.40993788819876,55.6709005048038,0.498809523809524,0.983317753649241
